Dataset,N_Samples,N_Features,Missing_Values,Target_Classes,Execution_Status,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Training_Time_sec
dataset_13_breast-cancer.csv,286,9,9,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_164_molecular-biology_promoters.csv,106,57,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_24_mushroom.csv,8124,22,2480,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_25_colic.csv,368,26,1927,2,Success,0.6081081081081081,0.21126760563380284,0.3191489361702128,0.2542372881355932,0.0338
dataset_27_colic.csv,368,22,1927,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_29_credit-approval.csv,690,15,67,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_312_scene.csv,2407,299,0,2,Success,0.7780082987551867,0.47845779097206365,0.4916901573878318,0.4717672965637323,0.1488
dataset_316_yeast_ml8.csv,2417,116,0,2,Success,0.9731404958677686,0.49267782426778245,0.4937106918238994,0.4931937172774869,0.0763
dataset_31_credit-g.csv,1000,20,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_333_monks-problems-1.csv,556,6,0,2,Success,0.5,0.25,0.5,0.3333333333333333,0.001
dataset_334_monks-problems-2.csv,601,6,0,2,Success,0.6611570247933884,0.5833333333333333,0.511890243902439,0.4403835307388607,0.0854
dataset_335_monks-problems-3.csv,554,6,0,2,Success,0.7657657657657657,0.7682529335071708,0.7677293428757319,0.7657467532467532,0.1653
dataset_336_SPECT.csv,267,22,0,2,Success,0.7592592592592593,0.6005434782608696,0.5782241014799154,0.5848610289769367,0.0792
dataset_38_sick.csv,3772,29,6064,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_3_kr-vs-kp.csv,3196,36,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_43_haberman.csv,306,3,0,2,Success,0.0,0.0,0.0,0.0,0.001
dataset_444_analcatdata_boxing2.csv,132,3,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_448_analcatdata_boxing1.csv,120,3,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_450_analcatdata_lawsuit.csv,264,4,0,2,Success,0.8679245283018868,0.46,0.46938775510204084,0.46464646464646464,0.001
dataset_451_irish.csv,500,5,32,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_461_analcatdata_creditscore.csv,100,6,0,2,Success,0.95,0.9166666666666667,0.9666666666666667,0.9373040752351097,0.001
dataset_463_backache.csv,180,31,0,2,Success,0.8611111111111112,0.4305555555555556,0.5,0.4626865671641791,0.0025
dataset_466_schizo.csv,340,14,834,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_470_profb.csv,672,9,1200,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_481_biomed.csv,209,8,15,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_49_heart-c.csv,303,13,7,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_50_tic-tac-toe.csv,958,9,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_51_heart-h.csv,294,13,782,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_55_hepatitis.csv,155,19,167,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_56_vote.csv,435,16,392,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_714_fruitfly.csv,125,4,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_719_veteran.csv,137,7,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_720_abalone.csv,4177,8,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_724_analcatdata_vineyard.csv,468,3,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_738_pharynx.csv,195,10,2,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_741_rmftsa_sleepdata.csv,1024,2,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_745_auto_price.csv,159,15,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_747_servo.csv,167,4,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_748_analcatdata_wildcat.csv,163,5,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_757_meta.csv,528,21,504,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
dataset_764_analcatdata_apnea3.csv,450,3,0,2,Training/Inference Error: can't multiply sequence by non-int of type 'float',,,,,
