Dataset,N_Samples,N_Features,Missing_Values,Target_Classes,Execution_Status,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Training_Time_sec
dataset_10_lymph.csv,148,18,0,4,Success,0.283448275862069,0.2515277777777778,0.2522299922299922,0.2248340221587406,0.4285893440246582
dataset_11_balance-scale.csv,625,4,0,3,Success,0.44959999999999994,0.15150026644989384,0.3250950179763739,0.20652854335252896,0.28935694694519043
dataset_12_mfeat-factors.csv,2000,216,0,10,Success,0.0975,0.008946753055352752,0.08840212075506193,0.016186315266226155,3.4937243461608887
dataset_14_mfeat-fourier.csv,2000,76,0,10,Success,0.023000000000000003,0.002248847363639159,0.017555526688653626,0.003967850453299088,1.9629054069519043
dataset_16_mfeat-karhunen.csv,2000,64,0,10,Success,0.0995,0.009239102164622714,0.09219251336898397,0.016731889794695642,2.619640350341797
dataset_181_yeast.csv,1484,8,0,10,Success,0.28163390663390664,0.060397750590213094,0.1073518115201851,0.06518403577962037,0.6376287937164307
dataset_182_satimage.csv,6430,36,0,6,Success,0.037947122861586316,0.008089826812748748,0.022927939338255134,0.011950638785376935,1.6607718467712402
dataset_185_baseball.csv,1340,16,20,3,Success,0.7686567164179104,0.3743477333974188,0.5496449679555091,0.37745223574159925,0.9724016189575195
dataset_186_braziltourism.csv,412,8,96,7,Success,0.5198354393182486,0.23017179709998775,0.2538354766926195,0.2131151268459423,0.20165443420410156
dataset_187_wine.csv,178,13,0,3,Success,0.11904761904761904,0.0383399209486166,0.08685064935064936,0.05281452293836194,0.20947933197021484
dataset_188_eucalyptus.csv,736,19,448,5,Success,0.21869829012686157,0.11153958711172755,0.17668469263151126,0.12920058868098389,1.0457794666290283
dataset_18_mfeat-morphological.csv,2000,6,0,10,Success,0.1,0.01,0.1,0.018112623232239992,0.6333715915679932
dataset_20_mfeat-pixel.csv,2000,240,0,10,Success,0.0965,0.008832431661995668,0.08747982323833717,0.01598485482468094,3.3010318279266357
dataset_22_mfeat-zernike.csv,2000,47,0,10,Success,0.077,0.007154223346081033,0.06715403619428387,0.012883367384896774,1.9714899063110352
dataset_23_cmc.csv,1473,9,0,3,Success,0.426316153580076,0.13489161766401475,0.3162820512820512,0.18890457790799448,1.3758280277252197
dataset_285_flags.csv,194,28,0,8,Success,0.2630229419703104,0.08023929773929775,0.14249590687090688,0.09906139372958596,0.24305438995361328
dataset_28_optdigits.csv,5620,64,0,10,Success,0.12597864768683276,0.07687240139823215,0.12483847163546069,0.056248252076769846,4.299166917800903
