Dataset,N_Samples,N_Features,Missing_Values,Target_Classes,Execution_Status,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Training_Time_sec
dataset_10_lymph.csv,148,18,0,4,Success,0.851264367816092,0.7479595093159335,0.7860563321554033,0.7585318358620565,1.7488343715667725
dataset_11_balance-scale.csv,625,4,0,3,Success,0.8672000000000001,0.5804748633916035,0.6273618567457387,0.6018115790033199,2.0384485721588135
dataset_12_mfeat-factors.csv,2000,216,0,10,Success,0.958,0.9588697213558433,0.9580180199365916,0.9575479164364034,8.596853494644165
dataset_14_mfeat-fourier.csv,2000,76,0,10,Success,0.7935000000000001,0.7908288874651014,0.7948393917385016,0.7896947858193023,10.886086702346802
dataset_16_mfeat-karhunen.csv,2000,64,0,10,Success,0.9309999999999998,0.9317703377325275,0.9314554213640486,0.930299713319499,10.91662335395813
dataset_181_yeast.csv,1484,8,0,10,Success,0.5788174538174539,0.5149907410348744,0.48231852520270835,0.45041119992537026,4.407520771026611
dataset_182_satimage.csv,6430,36,0,6,Success,0.8157076205287714,0.739956334187089,0.7308658741752049,0.7106091740440323,14.520964622497559
dataset_185_baseball.csv,1340,16,20,3,Success,0.9328358208955224,0.7898012343637515,0.5790662266649478,0.6241046415375522,2.6997127532958984
dataset_186_braziltourism.csv,412,8,96,7,Success,0.7669997061416398,0.1785088336460288,0.22728475228475226,0.19994355947767536,2.0445737838745117
dataset_187_wine.csv,178,13,0,3,Success,0.9831746031746033,0.9827505827505828,0.9858220211161388,0.9836305916305917,1.093313455581665
dataset_188_eucalyptus.csv,736,19,448,5,Success,0.5829196543482258,0.5451386646811569,0.5376452903768167,0.5313781486860225,2.8559138774871826
dataset_18_mfeat-morphological.csv,2000,6,0,10,Success,0.5765,0.516440305263489,0.5806920597317629,0.5222176200613122,5.353772401809692
dataset_20_mfeat-pixel.csv,2000,240,0,10,Success,0.961,0.9612823703018657,0.961191076926941,0.9607181759045815,8.72663950920105
dataset_22_mfeat-zernike.csv,2000,47,0,10,Success,0.77,0.7579345573595824,0.7719958541090298,0.7589796728683238,13.013566732406616
dataset_23_cmc.csv,1473,9,0,3,Success,0.4915208117145163,0.4724749051912857,0.47172905750394084,0.4696640123847372,1.983647108078003
dataset_285_flags.csv,194,28,0,8,Success,0.48461538461538456,0.36243082547704397,0.36268266455766457,0.3452572229580287,2.9836509227752686
dataset_28_optdigits.csv,5620,64,0,10,Success,0.941814946619217,0.9426888268131199,0.941735117791357,0.9417546630734268,24.867682695388794
dataset_2_anneal.csv,898,38,22175,5,Success,0.7616945996275606,0.15972780881440102,0.21000000000000002,0.18137846036897023,5.037212610244751
dataset_307_vowel.csv,990,12,0,11,Success,0.4131313131313131,0.39707475126495206,0.4238207186038167,0.3405527632924791,5.360563039779663
dataset_30_page-blocks.csv,5473,10,0,5,Success,0.9281924653360379,0.8247731639153804,0.41019259540445885,0.4815983209984026,11.141220808029175
dataset_327_bridges.csv,105,11,61,6,Success,0.7142857142857142,0.5746428571428571,0.5889983164983165,0.5707919672919674,2.336606979370117
dataset_328_bridges.csv,105,11,61,6,Success,0.6380952380952382,0.426557239057239,0.48100168350168354,0.4355056163879693,2.5106658935546875
dataset_329_hayes-roth.csv,160,4,0,3,Success,0.46875,0.4813435661345878,0.5159992784992784,0.4842978746175676,1.780975103378296
dataset_338_grub-damage.csv,155,8,0,4,Success,0.4967741935483871,0.49192793317793315,0.490007215007215,0.4596640557999584,2.159292459487915
dataset_35_dermatology.csv,366,34,8,6,Success,0.9753794890781192,0.9723520923520924,0.9712301587301587,0.9707354285313989,2.273817300796509
dataset_36_segment.csv,2310,19,0,7,Success,0.8567099567099566,0.8608735819448539,0.8572441377430117,0.8523348991634435,5.750072240829468
dataset_373_UNIX_user_data.csv,9100,2,0,9,Success,0.38450549450549454,0.3523354623359989,0.37620255382852946,0.3521930691655891,437.7138147354126
dataset_374_SyskillWebert-BioMedical.csv,131,2,0,3,Success,0.30626780626780625,0.3046488696488696,0.20132642211589583,0.22847688900647714,1.4223809242248535
dataset_375_JapaneseVowels.csv,9961,14,0,9,Success,0.8252177803033509,0.838636256012131,0.8045523980433009,0.7916011190096895,44.38736414909363
dataset_377_synthetic_control.csv,600,60,0,6,Success,0.9716666666666667,0.9733983708998011,0.9690760269852342,0.970026486287596,3.8165409564971924
dataset_378_ipums_la_99-small.csv,8844,60,51515,7,Success,0.7843747522055307,0.4407282041427093,0.4329210644648124,0.4283154970097859,60.13478946685791
dataset_381_ipums_la_98-small.csv,7485,60,52048,7,Success,0.7599198396793587,0.36532978376799763,0.36953605975017845,0.3624990561982597,53.61179304122925
dataset_382_ipums_la_97-small.csv,7019,60,48089,8,Success,0.4238465396697756,0.311689415610023,0.3056003455608248,0.29290644331053667,61.805179595947266
dataset_39_ecoli.csv,336,7,0,8,Success,0.8511413520632134,0.721416239010224,0.7159841081182359,0.7032609540387811,3.3014976978302
dataset_41_glass.csv,214,9,0,6,Success,0.6122923588039867,0.4954834928286941,0.48241590925414457,0.46191619495540526,2.413365125656128
dataset_42_soybean.csv,683,35,2337,19,Success,0.9209424645770717,0.9626713722632365,0.9403989731045115,0.9447931455499676,11.297942399978638
dataset_46_splice.csv,3190,60,0,3,Success,0.9369905956112852,0.9225994716545994,0.9437757739567607,0.9318697623229151,13.763040781021118
dataset_48_tae.csv,151,5,0,3,Success,0.5361290322580645,0.5548714248714248,0.5455242905242905,0.5379042789569105,0.8281228542327881
dataset_54_vehicle.csv,846,18,0,4,Success,0.6879011486251306,0.6821488444512755,0.7000870510324345,0.6689100981241994,3.809116840362549
dataset_57_hypothyroid.csv,3772,29,6064,4,Success,0.9228510197270188,0.2771351321282812,0.3,0.2881098230945839,14.718034982681274
dataset_5_arrhythmia.csv,452,279,408,13,Success,0.6657387057387056,0.4131692752741797,0.43682500497586696,0.40246561132603953,6.482290744781494
dataset_60_waveform-5000.csv,5000,40,0,3,Success,0.8632,0.8641767128519282,0.8639657937955436,0.8627954626224442,8.643604278564453
dataset_61_iris.csv,150,4,0,3,Success,0.9133333333333333,0.9235353535353535,0.9165319865319864,0.9087633606478673,1.6152772903442383
dataset_62_zoo.csv,101,16,0,7,Success,0.9604761904761905,0.923611111111111,0.925,0.913015873015873,2.288499355316162
dataset_9_autos.csv,205,25,59,6,Success,0.6536585365853659,0.5589778739778739,0.5630955155955155,0.5442734606821945,1.9339652061462402
